qid,query,original_query
22,determination of the current systems in upper atmosphere during magnetic storms detection atmospheric geomagnetic disturbances identification phenomena monitoring conditions solar activity characterization behavior events observation changes storm,determination of the current systems in the upper atmosphere during magnetic storms
23,observations of the sun during eclipses giving distribution sources on disc in microwave range solar eclipse and source radiation patterns spectrum frequency,observations of the sun during eclipses giving the distribution of sources on the disc in the microwave range
24,observations of the sun using radio interferometers measurements solar radiation via interferometry sun s electromagnetic spectrum telescopes interferometric studies activity detection frequency observation wave,observations of the sun using radio interferometers
25,equations governing the propagation of electromagnetic and hydromagnetic waves in solar corona wave dynamics behavior phenomena atmosphere outer,equations governing the propagation of electromagnetic and hydromagnetic waves in the solar corona
26,estimates of the density ionization and temperature in solar corona quantification conditions estimation plasma atmosphere measurement parameters determination state evaluation characteristics,estimates of the density of ionization and temperature in the solar corona
27,please send abstracts on the source spectra of lightning discharges provide spectral data discharge origins characteristics analysis electrical characterization electromagnetic radiation,please send abstracts on the source spectra of lightning discharges
28,the effect of small distortions in surface a cavity resonator impact minor irregularities on performance effects perturbations resonant behavior influence imperfections frequency response consequences resonance characteristics variations due to,the effect of small distortions in the surface of a cavity resonator
29,the determination of orbits individual meteors by radio methods meteor via wave analysis calculation trajectories using signals radio based tracking data for detection and characterization communication,the determination of the orbits of individual meteors by radio methods
30,the determination of ion masses in ionosphere by study back scattered radio waves ionic via ionospheric analysis backscattered signals mass measurement through wave scattering studies for technique ions,the determination of ion masses in the ionosphere by the study of back scattered radio waves
31,theoretical studies of the source high frequency radio waves emitted from planet jupiter investigations into origin jupiter s high frequency emissions research on wave phenomenon jovian emission characteristics explorations generation mechanism,theoretical studies of the source of high frequency radio waves emitted from the planet jupiter
32,simultaneous observations of whistlers and lightning discharges detection co occurring whistler event synchronization coincident recordings concurrent electrical discharge,simultaneous observations of whistlers and lightning discharges
33,variations in the height of reflection low or very frequency radio waves period before ground sunrise differences angle incidence time delay as they approach changes path length doppler shift effects on prior to ionospheric refraction dawn,variations in the height of reflection of low or very low frequency radio waves in the period before ground sunrise
34,the use of ionospheric cross modulation in determination electron densities and collision frequencies techniques for ion density frequency assessment via effects analysis measurement using phenomena estimation through,the use of ionospheric cross modulation in the determination of ionospheric electron densities and collision frequencies
35,measurements of ionospheric drifts near the equator drift velocity equatorial rates movement ionosphere at displacement region,measurements of ionospheric drifts near the equator
36,the use of analogue computers in upper atmosphere theory analog computing devices atmospheric studies computer applications research methods technology physics modeling using systems,the use of analogue computers in upper atmosphere theory
37,the use of lunar radio reflections in investigations nature moons surface wave echoes analysis investigation via scattering from signals topography studied interference geological research,the use of lunar radio reflections in investigations of the nature of the moons surface
38,what references on comparison between ground level and high altitude balloon cosmic ray results comparative analysis of data from ground level high altitude experiments investigations into the effects detection studies variation intensity with low environments altitude dependent variations in flux composition,what references on comparison between ground level and high altitude balloon cosmic ray results
39,what references on model experiments in aurora research findings related to studies simulations experiment data validation,what references on model experiments in aurora
40,what references on integral spectrum of primary cosmic rays ray spectra energy distribution data spectral characteristics radiation analysis,what references on integral spectrum of primary cosmic rays
41,ferromagnetic techniques for computer stores magnetic data storage methods retail environments storing materials in commercial settings hardware solutions utilizing properties options and use business applications,ferromagnetic techniques for computer stores
42,solution of differential equations by computer numerical computational methods for solving equation solver software analysis algebra system,solution of differential equations by computer
43,efficiency of digital computers versus analogue in the solution boundary value problems performance comparison and systems tackling evaluation computational for problem solving analog vs computer solving a constraints,efficiency of digital computers versus analogue computers in the solution of boundary value problems
44,methods of error checking in digital computers detection techniques computing verification procedures for systems fault tolerance mechanisms correction strategies devices,methods of error checking in digital computers
45,methods of producing minimal nets given a logical function in canonical form for constructing from functions synthesizing expressions generating representations net construction,methods of producing minimal nets given a logical function in canonical form
46,arithmetic units as required in a digital computer including shift registers serial and parallel adder circuits components logic number processing elements sequential devices,arithmetic units as required in a digital computer including shift registers serial and parallel adder
47,information on the design of low drift transistor amplifiers considerations for amplifier circuits characteristics reduced architecture and principles minimizing in,information on the design of low drift transistor amplifiers
48,information on high current transistor switches power electronic devices based switching circuits mosfets for applications electronics relay technology,information on high current transistor switches
49,information on design of time division multiplexing circuits and implementation systems circuit principles for technology applications considerations,information on design of time division multiplexing circuits
50,details of available low voltage capacitors specifications for characteristics capacitor options types applications electrolytic data,details of available low voltage capacitors
51,design of direct coupled flip flops to function with the maximum variations in values circuit components and analysis under varying component characterization flop behavior variability study on robustness variation investigation functionality respect tolerance conditions uncertainty,design of direct coupled flip flops to function with the maximum variations in the values of the circuit components
52,please supply information on the performance of typical magnetic film memory systems with circuit diagrams technology overview characteristics storage system analysis for specifications,please supply information on the performance of typical magnetic film memory systems with circuit diagrams
53,i would like details of the work which has been done to extend frequency range magnetic amplifiers investigations into enhancement amplifier performance explorations extension for studies on development wider bandwidth research operational widening response,i would like details of the work which has been done to extend the frequency range of magnetic amplifiers
54,i would like information on the range of static relays suitable for use at high switching rates relay settings high speed applications selection high frequency operations requirements equipment specifications fast optimal configuration systems,i would like information on the range of static relays suitable for use at high switching rates
55,i am interested in circuitry capable of generating extremely narrow pulses ultra narrow pulse generation nanosecond width high frequency nanosecond scale sub ns,i am interested in circuitry capable of generating extremely narrow pulses
56,please supply information on the theory and use of parametric amplifiers explain principles applications amplifier its practical implementations design operational characteristics technology uses fundamentals in quantum systems,please supply information on the theory and use of parametric amplifiers
57,the synthesis of networks with given sampled data transfer functions designing from constructing based on synthesizing network topologies creating models function forming structures,the synthesis of networks with given sampled data transfer functions
58,the theory of stability in relation to control systems with relay elements analysis utilizing components relay based system relay controlled employing devices element,the theory of stability in relation to control systems with relay elements
59,the use of digital computers to obtain power spectral analysis numerical data for application computational methods processing using techniques analyzing in frequency domain computer based,the use of digital computers to obtain power spectral analysis of numerical data
60,printed circuit design for a random pulse generator of low frequency board source layout low frequency applications,printed circuit design for a random pulse generator of low frequency
61,references on electric field theories of the aurora electromagnetic borealis theory northern lights auroral physics and its underlying principles theoretical frameworks for understanding phenomena dynamics in polar atmosphere,references on electric field theories of the aurora
62,fast transistor counters high speed digital rapid pulse transistor based timing circuits detectors devices,fast transistor counters
63,low pass lattice filters low pass digital structure passive low frequency filter designs bilinear,low pass lattice filters
64,similarities between the diffraction theory of electromagnetic waves and that electron streams wave beam behavior comparison patterns in scattering stream parallels interaction,similarities between the diffraction theory of electromagnetic waves and that of electron streams
65,the use of complex variables in theory communication networks network models applications variable analysis complexity systems,the use of complex variables in the theory of communication networks
66,the behaviour of a beam charged particles in presence plane conductors conductor interaction with electromagnetic near,the behaviour of a beam of charged particles in the presence of plane conductors
67,predicting the paths of electrons moving in a varying magnetic field trajectory prediction charged particles dynamic environment electron beam modeling non uniform fields path for time varying induced deflection and analysis particle motion magnetically conditions,predicting the paths of electrons moving in a varying magnetic field
68,active constant voltage transformer for signal distribution transmission regulator conditioning power supply and,active constant voltage transformer for signal distribution
69,active audio frequency filter with variable cut off slope adjustable cutoff point dynamic control equalizer q,active audio frequency filter with variable cut off slope
70,variable ultra high frequency attenuators attenuator components filter circuits signal selective impedance matching devices,variable ultra high frequency attenuators
71,faulty operation of feedback time bases errant functioning loops malfunctioning time based systems inaccurate control mechanisms performance in timing erroneous timing based circuits,faulty operation of feedback time bases
72,variable capacitance amplifiers oscillator tuned amplifier capacitor circuits circuit,variable capacitance amplifiers
73,transistor sweep generators transistor based analog using transistors oscillator circuits employing utilizing,transistor sweep generators
74,advantages of parametric amplifiers benefits amplification devices amplifier technology and applications,advantages of parametric amplifiers
75,optimising linear networks optimizing network topology design minimizing latency streamlining configurations flow optimization,optimising linear networks
76,transistor phase splitting circuits split for transistors divider circuitry shifter using based networks,transistor phase splitting circuits
77,please supply information pertinent to the use of surface pretreatment prevent secondary emission effects in valves methods for mitigating through modification preventative measures reducing emissions from valve surfaces treatment techniques minimize treatments reduce environmental impact strategies minimizing,please supply information pertinent to the use of surface pretreatment to prevent secondary emission effects in valves
78,i wish to have data about the design of mechanical band pass filters for good characteristics requirements high performance band pass ideal systems filter optimal passband performance with frequency response considerations specified,i wish to have data about the design of mechanical band pass filters for good pass characteristics
79,mechanisms whereby transmission at high frequencies is affected by weather and time of day effects environmental conditions on high frequency impact diurnal variations wireless communication time related factors influencing radio frequency propagation susceptibility to influences daily seasonal in wave,mechanisms whereby transmission at high frequencies is affected by weather and time of day
80,could you please give me articles about the possibilities of getting rectification using metallic devices on potential solutions utilizing instruments for research papers exploring feasibility metallic based correction methods studies use tools purposes detailing applications in documents examining techniques,could you please give me articles about the possibilities of getting rectification using metallic devices
81,i wish to calculate the inductance and loss in coils made using printed circuit or other miniaturization ideas a suitable article please designing analyzing miniature boards investigating characteristics compact coil designs calculating miniaturized configurations optimizing structures,i wish to calculate the inductance and loss in coils made using printed circuit or other miniaturization ideas a suitable article please
82,analysis of nonlinear systems using phase plane techniques investigation system behavior through space complex dynamics study methods visualization interactions via,analysis of nonlinear systems using phase plane techniques
83,miniature low noise high gain impedance amplifiers low noise high gain high impedance high impedance compact high gain,miniature low noise high gain high impedance amplifiers
84,control characteristics of sampling servo systems in system parameters behavior attributes dynamics,control characteristics of sampling servo systems
85,power spectral density distribution obtained using analogue techniques frequency domain representation analog signal processing output fourier transform result characteristics,power spectral density distribution obtained using analogue techniques
86,high stability input impedance transistorised analogue amplifier stability impedance transistorized analog fet with and operational low noise,high stability high input impedance transistorised analogue amplifier
87,electronic specific heat of a superconductor showing discontinuity at the superconducting critical temperature thermal conductivity anomalies in superconductors temperatures behavior transition points discontinuities thermodynamic properties tc temperature dependent changes thermodynamics exhibiting,electronic specific heat of a superconductor showing a discontinuity at the superconducting critical temperature
88,an abstract on the field distribution surrounding a charged thin circular disc resting infinite dielectric slab electromagnetic around surface of electric lines unbounded slab study electrostatic behavior in contact with configuration,an abstract on the field distribution surrounding a charged thin circular disc resting on an infinite dielectric slab
89,tunnel diode construction and its electrical characteristics explained design operation of diodes behavior properties fabrication performance analysis principles applications,tunnel diode construction and its electrical characteristics explained
90,electronic density of states at the surface a semiconductor compared with that depth properties semiconductors comparison and bulk in variation,electronic density of states at the surface of a semiconductor compared with that at depth
91,resistivity of metallic thin films related to surface roughness effects topography on electrical resistance in impact the relationship between and conductivity influence resistive properties its effect,resistivity of metallic thin films related to surface roughness
92,the phenomenon of radiation caused by charged particles moving in varying electric and magnetic fields induced electromagnetic effects particle motion environments field interactions with,the phenomenon of radiation caused by charged particles moving in varying electric and magnetic fields
93,high frequency oscillators using transistors theoretical treatment and practical circuit details high frequency oscillator design transistor based circuits analysis implementation of theory application in electronic modulation oscillation transistor construction,high frequency oscillators using transistors theoretical treatment and practical circuit details
